area,price,num_of_stories,num_of_bedrooms,num_of_toilets
98.0,16.5,3.0,3.0,3.0
73.0,7.6,2.0,2.0,2.0
175.0,7.5,2.0,3.0,3.0
120.0,3.9,2.0,3.0,2.0
98.0,7.8,3.0,4.0,4.0
45.0,4.58,3.0,3.0,3.0
88.0,2.88,2.0,2.0,1.0
100.0,9.5,4.0,5.0,5.0
90.1,6.25,2.0,3.0,2.0
100.0,9.5,4.0,5.0,5.0
36.0,3.1,4.0,5.0,4.0
84.0,11.0,2.0,3.0,2.0
85.0,6.8,4.0,4.0,4.0
100.0,3.8,1.0,2.0,2.0
85.0,6.6,3.0,4.0,4.0
60.0,3.78,3.0,3.0,3.0
85.0,14.3,3.0,3.0,2.0
90.0,6.5,3.0,4.0,4.0
76.0,7.25,4.0,3.0,5.0
83.0,12.1,3.0,3.0,2.0
150.0,10.0,2.0,3.0,3.0
108.0,15.336,3.0,5.0,6.0
105.0,12.6,2.0,3.0,2.0
133.0,6.5,2.0,2.0,3.0
144.0,16.0,2.0,3.0,3.0
42.0,4.2,4.0,4.0,3.0
101.0,5.09,1.0,4.0,2.0
90.0,4.5,2.0,4.0,2.0
70.0,6.2,4.0,4.0,5.0
100.0,4.8,2.0,2.0,1.0
80.0,7.55,2.0,3.0,2.0
120.0,13.5,1.0,2.0,1.0
97.6,16.4,2.0,3.0,2.0
110.0,5.99,4.0,4.0,4.0
80.0,8.9,3.0,3.0,4.0
100.0,4.0,3.0,3.0,3.0
100.0,4.5,3.0,3.0,3.0
95.0,6.4,3.0,5.0,5.0
100.0,7.9,2.0,4.0,3.0
100.0,4.5,2.0,3.0,3.0
75.0,7.59,2.0,3.0,2.0
60.8,5.0,3.0,3.0,3.0
110.0,8.5,3.0,4.0,3.0
50.0,4.15,3.0,3.0,3.0
121.0,4.6,1.0,3.0,3.0
70.0,4.9,2.0,3.0,3.0
108.0,11.5,3.0,4.0,5.0
52.0,3.05,2.0,3.0,2.0
105.0,8.2,3.0,4.0,4.0
82.5,6.1,3.0,3.0,2.0
104.0,7.9,3.0,4.0,3.0
76.0,7.25,4.0,3.0,5.0
70.0,3.9,2.0,2.0,2.0
36.0,2.8,3.0,5.0,3.0
56.0,4.15,3.0,3.0,4.0
58.0,4.0,2.0,2.0,2.0
100.0,8.0,3.0,3.0,3.0
30.0,2.25,2.0,2.0,2.0
81.0,11.5,4.0,4.0,4.0
99.58,8.7,2.0,3.0,3.0
49.0,5.1,3.0,4.0,3.0
50.0,8.3,4.0,3.0,4.0
79.7,7.5,2.0,2.0,2.0
150.0,16.5,3.0,5.0,5.0
90.0,5.3,3.0,3.0,3.0
133.3,6.5,2.0,3.0,3.0
80.0,4.95,3.0,3.0,3.0
70.0,6.45,2.0,2.0,2.0
163.8,13.5,3.0,3.0,3.0
137.0,5.5,3.0,4.0,5.0
114.0,10.0,3.0,3.0,3.0
100.0,5.6,3.0,4.0,3.0
104.0,9.5,1.0,3.0,2.0
52.0,2.05,1.0,2.0,1.0
100.0,4.65,2.0,3.0,2.0
101.0,10.8,2.0,3.0,3.0
56.0,4.15,3.0,3.0,4.0
50.0,3.55,3.0,3.0,3.0
77.0,4.95,2.0,3.0,2.0
100.0,4.7,3.0,3.0,3.0
93.0,8.5,2.0,3.0,2.0
95.0,7.0,3.0,4.0,3.0
55.0,2.6,2.0,2.0,2.0
123.0,11.0,2.0,3.0,3.0
80.0,9.9,4.0,4.0,4.0
56.6,4.98,3.0,5.0,5.0
