price,area,road_width,floors,bedroom,loc,garage
": 6,15 tỷ","96 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Lý Triện, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 5,2 tỷ","56 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường An Cư, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 5,5 tỷ","100 m
2",10m,2 lầu,3 phòng ngủ,"Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 3,45 tỷ","55 m
2",4m,2 lầu,2 phòng ngủ,"Đường An Trung, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 4,2 tỷ","70 m
2","5,5m",3 lầu,6 phòng ngủ,"Đường Bình Hòa, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 9,5 tỷ","90 m
2","5,5m",4 lầu,14 phòng ngủ,"Đường Hà Huy Giáp, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 8,7 tỷ","85 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Hà Đặc, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 4,55 tỷ","74 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Bàu Tràm 2, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 4,3 tỷ","85 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Lai, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 2,9 tỷ","60 m
2",6m,2 lầu,2 phòng ngủ,"Đường Bình Thái 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",chỗ để xe
": 5,6 tỷ","70 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 11,8 tỷ","120 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
: 12 tỷ,"85 m
2",35m,3 lầu,4 phòng ngủ,"Đường Nguyễn Hữu Thọ, Quận Hải Châu,",chỗ để xe
": 14,3 tỷ","676 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Bình Hòa, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 4,1 tỷ","60 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Bình Hòa, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 4,5 tỷ","65 m
2","3,7m",2 lầu,3 phòng ngủ,"Đường Tiên Sơn, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 6,5 tỷ","100 m
2","5,5m",4 lầu,11 phòng ngủ,"Đường Nguyễn Đức Thiệu, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",chỗ để xe
": 4,6 tỷ","90 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Nguyễn Hữu Hào, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
: 4 tỷ,"66 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Hóa Sơn 6, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
: 29 tỷ,"108 m
2",15m,2 lầu,2 phòng ngủ,"Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê,",chỗ để xe
": 7,7 tỷ","95 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Lưu Quý Kỳ, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
: 20 tỷ,"100 m
2","5,5m",7 lầu,21 phòng ngủ,"Đường Tiên Sơn, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 7,95 tỷ","125 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 10,8 tỷ","114 m
2","5,5m",3 lầu,10 phòng ngủ,"Đường Hồ Nguyên Trừng, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 5,5 tỷ","52 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường An Thượng 14, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 8,5 tỷ","133 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Thế Lữ, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 2,85 tỷ","50 m
2",4m,2 lầu,3 phòng ngủ,"Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 12,3 tỷ","145 m
2",4m,1 lầu,2 phòng ngủ,"Đường Hà Thị Thân, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 2,2 tỷ","40 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Lê Duẩn, Phường Thanh Khê Tây, Quận Thanh Khê,",0
": 5,65 tỷ","56 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường An Trung Đông 7, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
