price,area,road_width,floors,bedroom,loc,garage
": 5,3 tỷ","30 m
2",7m,2 lầu,2 phòng ngủ,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê,",chỗ để xe
: 5 tỷ,"101 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 6,55 tỷ","240 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Phạm Đình Hổ, Phường Hòa Minh, Quận Liên Chiểu,",0
": 7,5 tỷ","120 m
2",5m,6 lầu,8 phòng ngủ,"Đường Sơn Thủy 4, Phường Hòa Quý, Quận Ngũ Hành Sơn,",chỗ để xe
": 16,4 tỷ","98 m
2",15m,2 lầu,3 phòng ngủ,"Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 12,3 tỷ","72 m
2",10m,2 lầu,2 phòng ngủ,"Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 2,45 tỷ","117 m
2","5,5m",,,"Đường Huỳnh Tịnh Của, Phường Hòa Xuân, Quận Cẩm Lệ,",0
": 1,95 tỷ","40 m
2",2m5m,1 lầu,2 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",0
": 3,05 tỷ","67 m
2",3m,1 lầu,3 phòng ngủ,"Đường Trần Cao Vân, Phường Chính Gián, Quận Thanh Khê,",0
": 2,98 tỷ","50 m
2",3m,2 lầu,3 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",0
": 2,85 tỷ","60 m
2",5m,1 lầu,2 phòng ngủ,"Đường Bình Thái 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 3,29 tỷ","75 m
2",4m,1 lầu,3 phòng ngủ,"Đường An Hòa 12, Phường Hòa An, Quận Cẩm Lệ,",0
": 2,25 tỷ","30 m
2","2,5m",,2 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",0
": 2,05 tỷ","45 m
2",2m,,3 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",0
": 2,85 tỷ","100 m
2",3m,1 lầu,3 phòng ngủ,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 3,3 tỷ","40 m
2",3m,3 lầu,3 phòng ngủ,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê,",0
": 4,45 tỷ","40 m
2",4m,4 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,",0
: 9 tỷ,"60 m
2","5,5m",4 lầu,8 phòng ngủ,"Đường An Thượng 38, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
: 18 tỷ,"135 m
2",10m,1 lầu,1 phòng ngủ,"Đường Chính Hữu, Phường Phước Mỹ, Quận Sơn Trà,",0
: 65 tỷ,"271 m
2",10m,10 lầu,32 phòng ngủ,"Đường Chính Hữu, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 3,15 tỷ","50 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Độ, Phường Tân Chính, Quận Thanh Khê,",0
": 5,5 tỷ","222 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Đinh Đức Thiện, Phường Hòa Minh, Quận Liên Chiểu,",0
": 5,5 tỷ","222 m
2","7,5m",4 lầu,4 phòng ngủ,"Đường Đinh Đức Thiện, Phường Hòa Minh, Quận Liên Chiểu,",0
": 2,55 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Tôn Đản, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 2,58 tỷ","56 m
2",6m,2 lầu,2 phòng ngủ,"Đường Đống Đa, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 3,2 tỷ","121 m
2",4m,2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu,",0
": 3,5 tỷ","72 m
2",2m,2 lầu,3 phòng ngủ,"Đường Phạm Ngũ Lão, Phường Hải Châu II, Quận Hải Châu,",0
": 2,58 tỷ","56 m
2",6m,2 lầu,2 phòng ngủ,"Đường Đống Đa, Phường Thanh Bình, Quận Hải Châu,",0
": 6,5 tỷ","70 m
2","6,2m",3 lầu,4 phòng ngủ,"Đường Lưu Trọng Lư, Phường Hòa Cường, Quận Hải Châu,",0
": 3,35 tỷ","127 m
2",5m,2 lầu,2 phòng ngủ,"Đường Ngô Quyền, Phường Mân Thái, Quận Sơn Trà,",0
": 6,25 tỷ","129 m
2","5,5m",2 lầu,2 phòng ngủ,"Đường Trần Lê, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
: 24 tỷ,"123 m
2",15m,2 lầu,3 phòng ngủ,"Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 4,48 tỷ","45 m
2",4m,3 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Hải Châu II, Quận Hải Châu,",0
": 3,39 tỷ","42 m
2","2,5m",4 lầu,4 phòng ngủ,"Đường Lê Độ, Quận Thanh Khê,",0
": 3,25 tỷ","50 m
2",3m,2 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Phước Ninh, Quận Hải Châu,",0
": 12,5 tỷ","105 m
2",5m,3 lầu,3 phòng ngủ,"Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê,",chỗ để xe
": 2,65 tỷ","106 m
2","2,5m",3 lầu,2 phòng ngủ,"Đường Lý Thái Tổ, Phường Vĩnh Trung, Quận Thanh Khê,",0
": 2,95 tỷ","42 m
2",4m,2 lầu,3 phòng ngủ,"Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê,",0
": 5,3 tỷ","58 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Lương Thế Vinh, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 5,5 tỷ","100 m
2",10m,1 lầu,2 phòng ngủ,"Đường Dương Thị Xuân Quý, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 4,75 tỷ","77 m
2",5m,2 lầu,3 phòng ngủ,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,15 tỷ","57 m
2",4m,3 lầu,5 phòng ngủ,"Đường Trần Khánh Dư, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 5,15 tỷ","57 m
2",4m,3 lầu,5 phòng ngủ,"Đường Trần Khánh Dư, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 4,6 tỷ","48 m
2","7,5m",2 lầu,2 phòng ngủ,"Đường Trần Khánh Dư, Phường Mỹ An, Quận Ngũ Hành Sơn,",chỗ để xe
": 3,8 tỷ","60 m
2",4m,2 lầu,3 phòng ngủ,"Đường Nguyễn Huy Lượng, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 33,6 tỷ","240 m
2",20m,2 lầu,5 phòng ngủ,"Đường 2/9, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
: 16 tỷ,"210 m
2",7m,2 lầu,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 4,5 tỷ","100 m
2",7m,3 lầu,4 phòng ngủ,"Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu,",0
": 5,59 tỷ","100 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Thanh Lương 6, Phường Hòa Xuân, Quận Cẩm Lệ,",chỗ để xe
": 3,53 tỷ","50 m
2",3m,3 lầu,4 phòng ngủ,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 3,2 tỷ","50 m
2",3m,3 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 15,29 tỷ","111 m
2",11m,6 lầu,8 phòng ngủ,"Đường Xô Viết Nghệ Tĩnh, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 2,45 tỷ","117 m
2","5,5m",5 lầu,5 phòng ngủ,"Đường Huỳnh Tịnh Của, Xã Hòa Phước, Huyện Hòa Vang,",0
": 5,65 tỷ","95 m
2",7m5m,2 lầu,2 phòng ngủ,"Đường Trịnh Lỗi, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
: 12 tỷ,"136 m
2",10m,2 lầu,3 phòng ngủ,"Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu,",0
": 5,7 tỷ","100 m
2",7m5m,3 lầu,3 phòng ngủ,"Đường Mạc Cửu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 5,2 tỷ","95 m
2",7m5m,2 lầu,3 phòng ngủ,"Đường Tuy Lý Vương, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 5,5 tỷ","95 m
2",7m5m,4 lầu,5 phòng ngủ,"Đường Nguyễn Thế Kỷ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 6,3 tỷ","270 m
2",7m5m,3 lầu,4 phòng ngủ,"Đường Anh Thơ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 6,4 tỷ","95 m
2",11mm,3 lầu,4 phòng ngủ,"Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
": 8,4 tỷ","132 m
2",10m,3 lầu,3 phòng ngủ,"Đường Phạm Tuấn Tài, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",0
