Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Latitude,Longitude,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Số tầng,Nội thất
76 m²,"4,3 tỷ","4,12 m",3 m,Sổ đỏ/ Sổ hồng,16.0689095675252,108.209749486446,,,8 phòng,8 phòng,3 tầng,Cơ bản
120 m²,"17,9 tỷ",6 m,,Sổ đỏ/ Sổ hồng,16.0477285048648,108.246466648014,,,6 phòng,4 phòng,2 tầng,Cơ bản
50 m²,"1,65 tỷ",,,Hợp đồng mua bán,16.05316925048828,108.24815368652344,,,1 phòng,1 phòng,,Đầy đủ
70 m²,"1,67 tỷ","5,5 m",,Sổ đỏ/ Sổ hồng,15.9944866901568,108.238794217637,Bắc,,,,,
110 m²,"14,5 tỷ",5 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.049196415918,108.244993802688,Đông - Bắc,Đông - Bắc,7 phòng,8 phòng,5 tầng,Đầy đủ
100 m²,"7,5 tỷ",,"7,5 m",,16.0305788463836,108.239890416823,Đông - Bắc,,3 phòng,3 phòng,3 tầng,Full nội thất ngoại nhập.
105 m²,"17,5 tỷ",7 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0511387299812,108.244122726357,Đông - Nam,,,,,
158 m²,"13,79 tỷ",,"5,5 m",Sổ đỏ/ Sổ hồng.,16.0526098240165,108.239718787741,,,4 phòng,,,
750 m²,105 triệu/m²,20 m,30 m,Sổ đỏ/ Sổ hồng,16.0712663182978,108.231296755192,Đông - Nam,Đông - Nam,3 phòng,4 phòng,3 tầng,Đầy đủ
400 m²,Thỏa thuận,15 m,,Sổ đỏ/ Sổ hồng,16.064449310302734,108.23332214355469,,,,,,Đầy đủ
85 m²,"6,2 tỷ",5 m,"5,5 m",Sổ đỏ/ Sổ hồng,16.0679989439971,108.172363004917,,,3 phòng,4 phòng,3 tầng,- Full nội thất chỉ xách vali vào ở.
100 m²,"2,45 tỷ",5 m,"5,5 m",Sổ đỏ/ Sổ hồng,15.9754213532317,108.213020898061,Bắc,,,,,
300 m²,55 triệu/m²,15 m,"7,5 m",Sổ đỏ/ Sổ hồng,15.9990783586421,108.223807371051,,,,,,
120 m²,"11,2 tỷ",6 m,"10,5 m",Sổ đỏ/ Sổ hồng,16.0921192169189,108.225578308105,Đông - Nam,Đông - Nam,3 phòng,4 phòng,3 tầng,Đầy đủ
"82,5 m²","3,8 tỷ",,,,16.0388774871826,108.247406005859,,,2 phòng,2 phòng,,Cơ bản.
154 m²,"4,2 tỷ",8 m,"5,5 m",Sổ đỏ/ Sổ hồng,15.9880905914499,108.212595070342,Tây - Nam,,,,,
38 m²,"1,55 tỷ",,,Hợp đồng mua bán,16.0710315704346,108.229881286621,Tây - Nam,Nam,1 phòng,1 phòng,,Đầy đủ
954 m²,130 tỷ,15 m,"10,5 m",Sổ đỏ/ Sổ hồng.,16.0503101,108.2152047,,,,,,
120 m²,"10,9 tỷ",18 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0309981302515,108.216422114053,Đông - Nam,Đông - Nam,11 phòng,12 phòng,3 tầng,Cơ bản
62 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.0760307312012,108.244514465332,Nam,Đông,2 phòng,1 phòng,,Đầy đủ
125 m²,26 tỷ,5 m,,Sổ đỏ/ Sổ hồng,16.0792150576767,108.215255023588,,,,,5 tầng,Đầy đủ
105 m²,"4,5 tỷ",5 m,"10,5 m",Sổ đỏ/ Sổ hồng,16.048129246206,108.147154056852,,Đông - Bắc,5 phòng,5 phòng,2 tầng,Cơ bản
89 m²,5 tỷ,"4,5 m",8 m,Sổ đỏ/ Sổ hồng,16.0668429,108.1800722,Đông - Nam,Đông - Nam,3 phòng,2 phòng,2 tầng,Cơ bản
"106,3 m²",Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.08902,108.2283,Nam,Đông - Nam,3 phòng,2 phòng,,Đầy đủ
155 m²,"10,8 tỷ",8 m,,Sổ đỏ,16.0982827818291,108.233074675198,,,,,3 tầng,
68 m²,"5,6 tỷ",6 m,,Sổ đỏ/ Sổ hồng,16.0199582092153,108.204873855614,,,,,3 tầng,
300 m²,"16,5 tỷ",,,Sổ đỏ/ Sổ hồng.,16.017343521118164,108.24102783203125,Đông - Nam,,,,,
108 m²,"19,5 tỷ",,,Sổ đỏ/ Sổ hồng,16.088382720947266,108.22888946533203,,,,,3 tầng,
120 m²,"11,9 tỷ",,30 m,Sổ đỏ/ Sổ hồng,16.033109664916992,108.22423553466797,Tây - Bắc,Tây - Bắc,,,,Không nội thất
537 m²,Thỏa thuận,,30 m,Sổ đỏ/ Sổ hồng,15.992631912231445,108.26937103271484,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,2 tầng,Đầy đủ
105 m²,"3,7 tỷ",5 m,"7,5 m",Sổ đỏ/ Sổ hồng.,16.0153598,108.1963668,Nam,,,,,
"45,5 m²",Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.1001110076904,108.228858947754,Tây,Tây,1 phòng,1 phòng,,Đầy đủ
"105,5 m²",Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,16.0388774871826,108.247406005859,Đông,Đông,3 phòng,2 phòng,,Nội thất cao cấp.
"77,5 m²","3,45 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0388774871826,108.247406005859,Đông - Nam,Đông - Nam,2 phòng,2 phòng,,Nội thất cao cấp.
"82,5 m²",49 triệu/m²,,,Sổ đỏ/ Sổ hồng.,16.0388774871826,108.247406005859,Đông - Nam,Đông - Nam,2 phòng,2 phòng,,Nội thất cao cấp.
180 m²,"12,94 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0388774871826,108.247406005859,Đông - Nam,Đông - Nam,5 phòng,3 phòng,,Cao cấp.
