Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Longitude,Latitude
187 m²,"3,9 tỷ","7,5 m",,,,,Sổ đỏ/ Sổ hồng.,,Đông - Nam,,108.10873413085938,16.106407165527344
"117,2 m²","3,2 tỷ",,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Bắc,Nam,108.21044,16.062366
152 m²,"28,5 tỷ",7 m,"10,5 m",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Bắc,108.2430032,16.0726239
"75,6 m²","7,3 tỷ","4,5 m","5,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.242648228878,16.0414577337978
103 m²,9 tỷ,5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông,,108.2435654,16.0751828
250 m²,170 triệu/m²,10 m,15 m,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.2430032,16.0726239
164 m²,"20,1 tỷ","6,7 m",,,,,Sổ đỏ/ Sổ hồng.,Đầy đủ,Nam,,108.244627374913,16.0457103009572
"92,5 m²","7,5 tỷ",,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.210099748859,16.0359243729178
"37,2 m²","2,23 tỷ",,,,,1 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất.,Nam,Bắc,108.22888946533203,16.088382720947266
200 m²,"6,1 tỷ",10 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.269717940528,15.981832151041
127 m²,"4,65 tỷ",5 m,"7,5 m",,,,,,Tây,,108.2582174,16.0124027
100 m²,"2,85 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Bắc,,108.2565576,15.9768729
180 m²,"7,6 tỷ",9 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.2563921,16.0156292
62 m²,Thỏa thuận,,,,2 phòng,2 phòng,,Nội thất cao cấp.,,Đông - Nam,108.228858947754,16.1001110076904
300 m²,45 triệu/m²,15 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,,108.22174835205078,16.018306732177734
100 m²,Thỏa thuận,5 m,"7,5 m",3 tầng,3 phòng,4 phòng,,,Tây - Bắc,Tây - Bắc,108.2291802,16.0326999
62 m²,Thỏa thuận,,,,2 phòng,2 phòng,,Cao cấp.,,,108.228302001953,16.0890197753906
160 m²,12 tỷ,"5,1 m",30 m,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.2087681,16.030426
100 m²,14 tỷ,5 m,15 m,,,,Sổ đỏ/ Sổ hồng,,Tây,,108.2304737,16.0597982
200 m²,"15,2 tỷ",10 m,15 m,,,,,,Tây - Bắc,,108.1736212,16.0720794
"133,6 m²","3,48 tỷ","4,05 m",7 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.1471282,16.0894621
190 m²,13 tỷ,10 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,,,108.21037,16.0356445
61 m²,"3,6 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,108.24451446533203,16.076030731201172
67 m²,4 tỷ,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514,16.07603
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
62 m²,"3,6 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
67 m²,4 tỷ,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514,16.07603
120 m²,"7,9 tỷ",,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
120 m²,"7,9 tỷ",,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
120 m²,"7,9 tỷ",,,,3 phòng,2 phòng,Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
67 m²,4 tỷ,,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
61 m²,"3,6 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
37 m²,"2,1 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514,16.07603
65 m²,"3,5 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.24451446533203,16.076030731201172
123 m²,"17,5 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.244347006527,16.0671835151684
67 m²,4 tỷ,,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
120 m²,"7,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514,16.07603
120 m²,"7,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
120 m²,"7,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
"62,5 m²","3,8 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
95 m²,"7,7 tỷ",5 m,"7,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.210341147278,16.0356827478312
67 m²,4 tỷ,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.24451446533203,16.076030731201172
250 m²,Thỏa thuận,10 m,,,,,Sổ đỏ/ Sổ hồng,,,,108.2304737,16.0597982
62 m²,"3,6 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,108.24451446533203,16.076030731201172
380 m²,Thỏa thuận,15 m,,,,,Sổ đỏ/ Sổ hồng,,,,108.2367794,16.0706714
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
120 m²,"7,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
120 m²,"7,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
120 m²,"7,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
67 m²,"4,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
67 m²,"4,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
67 m²,"4,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.244514465332,16.0760307312012
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.24451446533203,16.076030731201172
"62,5 m²","3,8 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.269371032715,15.9926319122314
"62,5 m²","3,8 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.244514465332,16.0760307312012
70 m²,"4,2 tỷ",,,,2 phòng,1 phòng,,Đầy đủ,,,108.244514465332,16.0760307312012
37 m²,"2,4 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.244514465332,16.0760307312012
62 m²,"3,8 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
65 m²,"4,2 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.244514465332,16.0760307312012
90 m²,"3,6 tỷ",,6 m,,,,Sổ đỏ/ Sổ hồng,,Tây,,108.2582587,16.1079662
118 m²,"4,35 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông - Bắc,,108.2306919,16.0942013
182 m²,"1,45 tỷ","5,7 m",4 m,,,,Sổ đỏ/ Sổ hồng.,,Nam,,108.214443939335,16.0787225491133
125 m²,"4,5 tỷ",5 m,"7,5 m",,,,Sổ đỏ,,Tây - Nam,,108.2296062,16.096268
92 m²,5 tỷ,5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.2358792,16.0834505
200 m²,20 tỷ,10 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.2430192,16.0722077
154 m²,"6,3 tỷ",7 m,"10,5 m",,,,Sổ đỏ.,,Tây - Bắc,,108.2283718,16.097019
160 m²,"12,5 tỷ",10 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.2450869,16.0817657
"111,2 m²","7,48 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.24451446533203,16.076030731201172
100 m²,"5,45 tỷ",,15 m,,,,,,,,108.2326804,16.0953006
"159,3 m²","5,69 tỷ",,"18,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Nam,,108.168286107275,16.0451712375203
120 m²,"9,6 tỷ",6 m,,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Tây,Tây,108.239977316534,16.0558500731338
"111,2 m²","7,48 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.24451446533203,16.076030731201172
60 m²,"1,49 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Nam,Đông - Nam,108.1265869140625,16.09237289428711
60 m²,"4,6 tỷ",,"7,5 m",,,,,,,,108.235154235045,16.0957939420668
"69,6 m²","4,58 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.24451446533203,16.076030731201172
"69,6 m²","4,48 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.24451446533203,16.076030731201172
"102,5 m²","6,4 tỷ",,"5,5 m",2 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông,,108.244382868289,16.0372128801774
"37,2 m²",3 tỷ,,,,1 phòng,1 phòng,Hợp đồng mua bán,Không nội thất,Bắc,Bắc,108.22888946533203,16.088382720947266
"69,6 m²","4,45 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.24451446533203,16.076030731201172
"105,5 m²","5,05 tỷ",,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.247406005859,16.0388774871826
"82,5 m²","3,86 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Bàn giao nội thất liền tường cao cấp,,,108.247406005859,16.0388774871826
"69,6 m²","4,45 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.24451446533203,16.076030731201172
162 m²,Thỏa thuận,9 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng.,,Nam,,108.243942428903,16.0514938916908
120 m²,Thỏa thuận,6 m,,,,,Sổ đỏ/ Sổ hồng,,,,108.154017025238,16.0771699085478
"65,5 m²","4,27 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
100 m²,6 tỷ,5 m,"7,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc,Đông - Bắc,108.24016571044922,16.029903411865234
"65,5 m²","4,24 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.244514465332,16.0760307312012
10.500 m²,"5,5 tỷ",,,,,,,,,,108.050186310699,15.9924268353127
75 m²,"4,6 tỷ",,,,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,108.24534606933594,16.069961547851562
136 m²,"9,6 tỷ","6,5 m","5,5 m",3 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,Đông,,108.222313627904,16.0449953000948
"65,5 m²","4,24 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.244514465332,16.0760307312012
"99,6 m²","7,86 tỷ",,,,3 phòng,,,,,,108.23290252685547,16.05078125
"65,6 m²","4,25 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.244514465332,16.0760307312012
154 m²,Thỏa thuận,15 m,15 m,,,,Sổ đỏ/ Sổ hồng.,,Nam,,108.236069299083,16.064225922131
"64,9 m²","4,18 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.244514465332,16.0760307312012
127 m²,"6,6 tỷ","6,2 m","7,5 m",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Nam,,108.2334213256836,15.98295783996582
60 m²,"1,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Đông - Nam,108.1265869140625,16.09237289428711
68 m²,Thỏa thuận,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,108.23047637939453,16.059795379638672
"62,4 m²","3,93 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
160 m²,"11,2 tỷ",,6 m,,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.2471665,16.0452593
62 m²,"3,93 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
81 m²,"4,55 tỷ","4,5 m",6 m,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.147283335579,16.0480802443368
"92,5 m²","2,45 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,105.852447225903,21.0289486097874
"48,6 m²","2,4 tỷ",,,,1 phòng,1 phòng,,,,,108.23290252685547,16.05078125
"91,2 m²","2,65 tỷ",6 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,,,108.267181676957,15.9864556327633
"62,4 m²","3,9 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514465332,16.0760307312012
"62,2 m²","3,92 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
140 m²,23 tỷ,10 m,,,,,,,,,108.2454557,16.0515136
91 m²,10 tỷ,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây,Tây,108.23047637939453,16.059795379638672
"62,2 m²","3,92 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
100 m²,"14,5 tỷ",5 m,,,,,,,,,108.230602389269,16.0601494754551
180 m²,"14,5 tỷ",6 m,5 m,,,,,,,,108.2449005,16.0558376
"67,5 m²","4,37 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.22888946533203,16.088382720947266
180 m²,Thỏa thuận,6 m,,,,,,,,,108.2414295,16.0563678
33 m²,"3,07 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.22889,16.088383
"91,1 m²",4 tỷ,5 m,15 m,,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.237931833116,15.9832011313307
"62,2 m²","3,89 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
699 m²,900 tỷ,15 m,33 m,22 tầng,148 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.246589714527,16.057043534733
"73,2 m²","4,48 tỷ",5 m,"5,5 m",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.164045222743,16.0556482120403
"61,4 m²","3,79 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
300 m²,"17,5 tỷ",,,3 tầng,,,,,,,108.166037806023,16.0559845168995
"62,5 m²","3,94 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
75 m²,"6,3 tỷ",,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Tây - Bắc,108.22888946533203,16.088382720947266
"62,5 m²","3,94 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
"224,6 m²",33 tỷ,20 m,55 m,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.245043595173,16.0539240421251
69 m²,"1,96 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Bắc,108.25209045410156,15.983246803283691
"214,4 m²","15,5 tỷ",,,3 tầng,,,,,,,108.173004891542,16.0470212203752
128 m²,"2,95 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.212711020201,15.9789481198101
"214,4 m²","15,5 tỷ",,,3 tầng,,,,,,,108.173004891542,16.0470212203752
128 m²,"2,95 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.212711020201,15.9789481198101
44 m²,"8,5 tỷ","4,5 m",10 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Nam,108.215055174087,16.050149972877
200 m²,11 tỷ,,"7,5 m",,,,,,Đông - Bắc,,108.225044168716,16.0234307310868
"62,5 m²","3,91 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
108 m²,"6,6 tỷ",9 m,,,,,,,,,108.249769278247,16.0263228539539
100 m²,"14,1 tỷ","4,7 m","11,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.2453386,16.0572756
"81,5 m²","10,7 tỷ",,,,7 phòng,8 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Nam,Đông - Nam,108.244923,16.0803144
"62,5 m²","3,91 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
102 m²,"3,7 tỷ",6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Bắc,,108.252090454102,15.9832468032837
300 m²,Thỏa thuận,,,2 tầng,4 phòng,,,Full nội thất chuẩn 5*.,,,108.248374938965,16.0435066223145
90 m²,Thỏa thuận,,,,,,,,Tây - Nam,,108.245501933778,16.084686688124
250 m²,"7,1 tỷ",10 m,55 m,2 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Tây - Bắc,Tây - Nam,108.199778327294,16.0086198671488
"62,6 m²","3,89 tỷ",,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
47 m²,"2,8 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244453430176,16.0686168670654
65 m²,"5,4 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,108.22888946533203,16.088382720947266
"37,4 m²","2,31 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
"60,8 m²","10,8 tỷ","3,5 m","10,5 m",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,108.217623733586,16.0621959917134
61 m²,"2,55 tỷ",5 m,4 m,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Nam,,108.157322519838,16.082443924617
125 m²,25 tỷ,5 m,38 m,5 tầng,6 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Nam,,108.215246200495,16.0790171554194
"37,4 m²","2,27 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
"37,4 m²","2,27 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
81 m²,"11,5 tỷ",,"5,5 m",4 tầng,5 phòng,3 phòng,,,Nam,,108.210528036979,16.0603134671952
184 m²,"8,4 tỷ","9,2 m","7,5 m",,,,,,Tây - Nam,,108.17535802961,16.0744504321055
60 m²,"2,95 tỷ",5 m,7 m,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Nam,Nam,108.202389602041,16.0132617652246
"73,2 m²","4,48 tỷ",5 m,"5,5 m",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,108.163743155975,16.0555294366338
102 m²,"2,98 tỷ",6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông,,108.252090454102,15.9832468032837
58 m²,"12,7 tỷ",4 m,,,,,,,,,108.2107339,16.0629171
117 m²,9 tỷ,"4,5 m",,3 tầng,12 phòng,,,,,,108.2408995,16.0475785
207 m²,Thỏa thuận,9 m,,,,,,,,,108.2072037,16.0590245
60 m²,Thỏa thuận,"8,4 m",,4 tầng,,6 phòng,,,,,108.2142396,16.0666223
59 m²,"1,5 tỷ",,,,2 phòng,2 phòng,Đang chờ sổ,Cơ bản,,,108.1265869140625,16.09237289428711
105 m²,"6,2 tỷ",5 m,"7,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,,108.185308307922,16.0588497325186
100 m²,26 tỷ,5 m,15 m,7 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông,,108.23023232283,16.0600034069538
100 m²,"9,8 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây,,108.232214525342,16.0526992157393
60 m²,"1,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,108.1265869140625,16.09237289428711
"37,4 m²","2,26 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.244514,16.07603
50 m²,"1,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Nam,108.126586914063,16.0923728942871
45 m²,2 tỷ,7 m,"14,5 m",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam,108.1265869140625,16.09237289428711
60 m²,"1,2 tỷ",,,,2 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,Nam,Đông - Nam,108.1265869140625,16.09237289428711
45 m²,2 tỷ,7 m,"14,5 m",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam,108.1265869140625,16.09237289428711
60 m²,"1,2 tỷ",,,,2 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,Nam,Đông - Nam,108.1265869140625,16.09237289428711
60 m²,"1,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Đông - Bắc,108.1265869140625,16.09237289428711
128 m²,"2,95 tỷ",,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.223506712279,15.9990950813965
"37,4 m²","2,31 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.24451446533203,16.076030731201172
245 m²,"7,4 tỷ",10 m,"10,5 m",,,,Đang chờ sổ,,Nam,,108.252353525189,15.9818712159658
"117,5 m²",20 tỷ,9 m,"3,75 m",5 tầng,14 phòng,15 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.243013557719,16.0478276789998
85 m²,"6,5 tỷ",5 m,"5,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,108.1721666,16.0681082
171 m²,"16,5 tỷ",,,,,,,,,,108.213261884227,16.0584609020273
100 m²,"3,1 tỷ",,,,,,Sổ đỏ/ Sổ hồng.,,,,108.25209045410156,15.983246803283691
123 m²,17 tỷ,,,,,,,,,,108.2443389,16.0671719
100 m²,"4,5 tỷ",,"10,5 m",,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.266822950026,15.9927163772417
200 m²,"7,5 tỷ",,"10,5 m",3 tầng,4 phòng,3 phòng,,,,,108.2671142,15.990304
290 m²,22 tỷ,11 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây,,108.2400425,16.0591364
90 m²,3 tỷ,"5,5 m","5,5 m",,,,Sổ đỏ/ Sổ hồng.,,Nam,,108.2691477,15.9857164
90 m²,"2,85 tỷ",5 m,5 m,,,,Sổ đỏ/ Sổ hồng,,,,108.266757521778,15.9969328658015
"73,2 m²","4,48 tỷ",,,2 tầng,3 phòng,3 phòng,,,,,108.163368308933,16.0558566055845
"37,4 m²","2,31 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.24451446533203,16.076030731201172
103 m²,Thỏa thuận,,,,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Tây - Bắc,108.228302001953,16.0890197753906
125 m²,Thỏa thuận,5 m,"5,5 m",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Đông,Nam,108.253755336244,16.012339516593
100 m²,"3,35 tỷ",5 m,"5,5 m",1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Tây - Nam,Tây - Nam,108.23336029052734,16.000446319580078
100 m²,"4,38 tỷ",5 m,5 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,108.209479716108,15.9892495194155
