Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Longitude,Latitude
80 m²,"3,7 tỷ",,4 m,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.23980655357,16.0826966444785
198 m²,16 tỷ,11 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.2106819,16.0420842
"85,5 m²","6,2 tỷ",5 m,"5,5 m",3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,108.170456121186,16.0691184116839
93 m²,"5,2 tỷ",6 m,3 m,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,108.210506716892,16.0748708744845
100 m²,"4,2 tỷ",5 m,"5,5 m",3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Nam,Đông,108.211879780818,16.0003459262839
200 m²,11 tỷ,10 m,15 m,,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.2163333,15.994745
120 m²,8 tỷ,,5 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,
450 m²,"19,35 tỷ",15 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây,,108.265222549438,15.974500269374
465 m²,"15,2 tỷ",18 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây,,108.265222549438,15.9711170735423
10.000 m²,65 tỷ,15 m,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,Tây,,108.112226735063,16.0829774540449
100 m²,"2,5 tỷ",5 m,,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.202572618431,16.0131802799477
102 m²,"2,9 tỷ",6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây,,108.263435942944,15.9667430860035
144 m²,"3,1 tỷ",6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.252090454102,15.9832468032837
"97,3 m²","5,5 tỷ",,"10,5 m",1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Tây - Nam,108.243578855677,16.0422776445186
43 m²,Thỏa thuận,,,,1 phòng,1 phòng,Hợp đồng mua bán,,,,108.262775920715,15.9823187303406
100 m²,"5,5 tỷ",5 m,15 m,,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.235166817728,16.0860271351899
103 m²,8 tỷ,5 m,"7,5 m",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,108.241207852462,16.0731705578369
213 m²,"18,5 tỷ","8,5 m","10,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.212318780949,16.0236428176226
90 m²,"4,3 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.2573914,16.1065024
112 m²,"3,1 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.17558554361,16.0466593610964
92 m²,"4,95 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.2358792,16.0834505
138 m²,"8,5 tỷ",8 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây,,108.2398134,16.0827054
73 m²,"5,15 tỷ",5 m,"5,5 m",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Nam,Tây - Nam,108.1757004,16.0757421
100 m²,"2,53 tỷ",,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.237381207712,15.9875240709094
"73,5 m²","4,48 tỷ",5 m,5 m,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,Tây - Nam,Tây - Nam,108.163626160236,16.05573521864
"278,1 m²",22 tỷ,15 m,33 m,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.220798756429,16.0061190880415
240 m²,Thỏa thuận,"7,91 m","10,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.2445484,16.0460617
"277,5 m²","18,5 tỷ",15 m,33 m,,,,,,Tây,,108.2208631,16.0063826
200 m²,12 tỷ,10 m,"10,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.241765669915,16.025461764218
"244,3 m²",Thỏa thuận,"11,2 m","10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.215827,16.0384625
81 m²,"4,75 tỷ","4,5 m",6 m,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.167551094427,16.0587462880817
"244,3 m²",Thỏa thuận,"11,2 m","10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.215827,16.0384625
81 m²,"4,75 tỷ","4,5 m",6 m,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.167551094427,16.0587462880817
70 m²,"6,85 tỷ",,"5,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,108.2155925,16.0327547
180 m²,Thỏa thuận,"7,5 m","7,5 m",,,,,,Nam,,108.25209045410156,15.983246803283691
"513,6 m²",105 tỷ,"26,6 m",,,,,Sổ đỏ/ Sổ hồng,,,,108.2304737,16.0597982
98 m²,"16,5 tỷ",,,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,108.241008886448,16.0550034670671
