Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng
297 m²,Thỏa thuận,77 phòng,77 phòng,Sổ đỏ/ Sổ hồng,16.0515136,108.2454557,15 m,"10,5 m",Bắc,Bắc,15 tầng,Full nội thất.
"105,2 m²",Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.0384625,108.215827,6 m,"10,5 m",Tây,,,
500 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,,20 m,"7,5 m",Tây - Bắc,,,
264 m²,255 triệu/m²,,,Sổ đỏ/ Sổ hồng,16.0581676435837,108.222670061963,12 m,23 m,Đông,,,
"82,5 m²","5,2 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,16.0378906,108.2150248,5 m,"5,5 m",Tây,Tây,1 tầng,
"138,5 m²",12 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,16.0436224,108.2188462,"7,1 m","7,5 m",Nam,Nam,2 tầng,Cơ bản.
190 m²,"3,7 tỷ",,,Sổ đỏ/ Sổ hồng,16.1114532542111,108.125438690186,10 m,"5,5 m",,,,
"187,5 m²",22 triệu/m²,,,Sổ đỏ/ Sổ hồng,16.106407165527344,108.10873413085938,"7,5 m",21 m,Tây - Bắc,,,
125 m²,"2,1 tỷ",,,Sổ đỏ/ Sổ hồng,16.1064071655273,108.108734130859,5 m,"7,5 m",,,,
"277,5 m²",20 tỷ,,,Sổ đỏ/ Sổ hồng.,16.018306732177734,108.22174835205078,15 m,33 m,Tây - Nam,,,
"277,5 m²",20 tỷ,,,Sổ đỏ/ Sổ hồng.,16.0063826,108.2208631,15 m,33 m,Tây - Nam,,,
"70,8 m²","5,39 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0597953796387,108.230476379395,,,,,,
140 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.0515136,108.2454557,10 m,"10,5 m",Đông - Nam,,,
134 m²,51 triệu/m²,,,Sổ đỏ/ Sổ hồng,16.0909128880444,108.247617114547,"9,5 m","7,5 m",Bắc,,,
"99,6 m²","8,17 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.05078125,108.232902526855,,,,,,
108 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,15.9738401380921,108.266080856323,6 m,"15,5 m",Đông - Nam,,,
100 m²,"2,25 tỷ",,,Sổ đỏ chính chủ.,16.0935726165771,108.12629699707,5 m,"11,5 m",Đông - Nam,,,
276 m²,"13,8 tỷ",,,Sổ đỏ/ Sổ hồng.,16.1011214,108.2292908,24 m,"10,5 m",,,,
"125,7 m²","7,1 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0258447654851,108.241464116068,7 m,"7,5 m",,,,
100 m²,"2,75 tỷ",,,Sổ đỏ/ Sổ hồng,21.0289486097874,105.852447225903,,,Tây - Nam,,,
100 m²,"3,65 tỷ",,,Sổ đỏ/ Sổ hồng,16.0198958757752,108.229072206343,,,,,,
648 m²,140 tỷ,19 phòng,20 phòng,Sổ đỏ/ Sổ hồng,16.0688228760195,108.241217048935,27 m,,,,,
125 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.0874762040699,108.240977401718,5 m,,Đông - Nam,,,
253 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.0616787945667,108.245534702636,14 m,,Đông,,,
306 m²,37 tỷ,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0847834559786,108.21131563371,11 m,"7,5 m",,,3 tầng,Đầy đủ
2.000 m²,"4,5 tỷ",,,Sổ đỏ/ Sổ hồng,15.9649887,108.1766532,,,,,,
23.000 m²,3 tỷ,,,Sổ đỏ/ Sổ hồng,16.0431131840133,108.060952285944,,,,,,
106 m²,"24,5 tỷ",4 phòng,4 phòng,,16.0602819565625,108.212778506094,"4,5 m",33 m,Đông - Nam,,4 tầng,
240 m²,"10,8 tỷ",,,Sổ đỏ/ Sổ hồng,15.9832437701713,108.251837310391,12 m,"7,5 m",Đông,,,
140 m²,"1,67 tỷ",,,,16.0963190646346,108.095537640441,,,Tây - Nam,,,
64 m²,"3,29 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0641412554063,108.166366075989,,10 m,Đông - Bắc,Đông - Bắc,2 tầng,Đầy đủ
66 m²,"2,68 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,16.066041052247,108.154965238914,4 m,3 m,Tây,Tây,1 tầng,Đầy đủ.
"146,6 m²","5,56 tỷ",,,Sổ đỏ,16.0560385499539,108.165781234645,9 m,7 m,Đông - Bắc,,,
125 m²,"6,2 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0527463,108.1774923,5 m,7 m,Đông - Nam,,,
84 m²,"6,25 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0205487422246,108.209138439513,"6,5 m","5,5 m",Đông - Nam,Đông - Nam,2 tầng,
101 m²,"10,8 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,16.0483916232114,108.235913727191,5 m,"10,5 m",Tây - Nam,,2 tầng,Đầy đủ
460 m²,46 tỷ,,,Sổ đỏ/ Sổ hồng,16.0753510484697,108.242425189358,22 m,"7,5 m",Đông - Nam,,,
528 m²,"4,5 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0431146963099,108.071244087768,22 m,7 m,Đông - Nam,,,
190 m²,12 tỷ,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,16.029903411865234,108.24016571044922,10 m,"11,5 m",Đông - Bắc,,,Đầy đủ
55 m²,"6,95 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,16.0604865480332,108.236414205327,4 m,75 m,Đông - Bắc,,,Cơ bản
80 m²,"6,4 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,16.0446001016061,108.238198777975,5 m,"7,5 m",,,1 tầng,
162 m²,69 tỷ,25 phòng,25 phòng,Sổ đỏ/ Sổ hồng,16.0571060776921,108.245097461763,9 m,105 m,Đông,Đông,12 tầng,Đầy đủ
105 m²,"24,5 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0601395608402,108.212831902455,"4,5 m",20 m,Nam,Nam,4 tầng,Cơ bản
220 m²,"18,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,16.0313606790263,108.216265154136,11 m,"7,5 m",Nam,Nam,3 tầng,
60 m²,"2,85 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0263462367587,108.187863127494,,5 m,Bắc,Bắc,2 tầng,Đầy đủ
110 m²,"17,3 tỷ",12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,16.0527488,108.2412426,"6,5 m",,,,5 tầng,Đầy đủ
98 m²,"5,8 tỷ",,,Sổ đỏ/ Sổ hồng,16.3575507923028,111.203641294383,"6,1 m",,,,,
130 m²,"8,1 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.05614471435547,108.23332214355469,,,,,2 tầng,Đầy đủ
191 m²,12 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,16.0659699791697,108.216378850096,8 m,6 m,,,3 tầng,Đầy đủ
68 m²,"5,65 tỷ",4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.020300012292,108.205039809363,6 m,,,,3 tầng,
850 m²,138 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,34 m,"7,5 m",,,3 tầng,Đầy đủ
71 m²,"11,99 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0346069,108.2184585,5 m,"10,5 m",,,4 tầng,Đầy đủ
90 m²,5 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0341099232629,108.215863568186,5 m,"5,5 m",,,2 tầng,Đầy đủ.
120 m²,"6,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,16.0561585457119,108.165524817577,7 m,"10,5 m",,,4 tầng,Đầy đủ.
150 m²,"7,5 tỷ",14 phòng,14 phòng,Sổ đỏ/ Sổ hồng.,16.074375667415,108.168190743944,10 m,"5,5 m",,,3 tầng,Đầy đủ.
67 m²,"11,5 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,16.0484305,108.245085,"4,5 m","5,5 m",,,4 tầng,Đầy đủ
500 m²,200 tỷ,100 phòng,100 phòng,Sổ đỏ/ Sổ hồng,16.0470926,108.2495224,12 m,,,,12 tầng,Đầy đủ
100 m²,"3,9 tỷ",,,Sổ đỏ/ Sổ hồng.,16.018306732177734,108.22174835205078,5 m,"7,5 m",Tây - Bắc,,,
370 m²,28 tỷ,8 phòng,5 phòng,Sổ đỏ/ Sổ hồng,16.0142624703615,108.21085293805,14 m,6 m,Đông - Nam,Đông - Nam,4 tầng,Đầy đủ
90 m²,"8,7 tỷ",,,Sổ đỏ/ Sổ hồng,16.0387383208899,108.247546992539,5 m,11 m,,,,
106 m²,"24,5 tỷ",,,,16.0590245,108.2072037,"4,5 m",33 m,,,4 tầng,
82 m²,"5,15 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,16.0407773783109,108.245536579906,,5 m,,,2 tầng,
62 m²,"3,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,16.0388774871826,108.247406005859,,,Đông - Nam,Đông - Nam,,Nội thất cao cấp.
117 m²,"12,12 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,16.0346423048274,108.218360778576,5 m,"10,5 m",Tây,Tây - Nam,3 tầng,Cơ bản.
125 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,16.0804041,108.2109481,5 m,45 m,Tây - Bắc,,,
168 m²,"2,15 tỷ",,,Sổ đỏ/ Sổ hồng,16.0742759,108.1228406,7 m,"3,75 m",Nam,,,
"55,1 m²","1,55 tỷ",,,Sổ đỏ/ Sổ hồng.,16.100002,108.1354234,"3,7 m",4 m,Tây - Nam,,,
58 m²,Thỏa thuận,1 phòng,1 phòng,,16.0699615478516,108.245346069336,,,Đông,Tây,,Đầy đủ
300 m²,55 triệu/m²,,,Sổ đỏ/ Sổ hồng,15.9993439745791,108.22386196281,12 m,"7,5 m",Tây - Bắc,,,
