,area,price,num_of_stories,num_of_bedrooms,num_of_toilets
1180,100.0,17.5,4,4.0,4.0
1181,84.0,8.6,3,4.0,5.0
1182,130.0,16.9,3,4.0,5.0
1183,131.0,20.0,8,20.0,20.0
1184,55.0,,2,3.0,2.0
1185,137.0,5.1,2,10.0,10.0
1186,106.0,4.7,3,4.0,3.0
1187,58.0,13.0,4,4.0,4.0
1188,119.0,18.0,4,4.0,
1189,151.0,16.5,3,6.0,4.0
1190,56.0,10.5,3,,
1191,80.0,19.5,3,,
1192,100.0,4.37,2,2.0,2.0
1193,140.0,7.5,3,4.0,5.0
1194,125.0,26.0,5,,
1195,100.0,4.6,2,4.0,4.0
1196,108.0,15.8,3,3.0,4.0
1197,42.0,1.85,2,2.0,2.0
1198,84.0,4.35,2,3.0,2.0
1199,64.0,8.5,4,3.0,3.0
1200,105.0,3.8,1,2.0,1.0
1201,75.0,7.55,2,3.0,2.0
1202,72.9,11.2,4,2.0,2.0
1203,95.0,8.3,5,11.0,
1204,70.0,4.9,3,4.0,3.0
1205,120.0,10.3,3,5.0,3.0
1206,116.0,7.6,,10.0,
1207,52.8,4.8,2,1.0,1.0
1208,75.0,,3,3.0,3.0
1209,108.0,16.0,5,,
1210,155.0,10.8,3,4.0,5.0
1211,108.0,16.2,3,6.0,6.0
1212,85.0,5.95,3,3.0,4.0
1213,205.0,7.5,3,5.0,5.0
1214,80.0,5.3,2,3.0,3.0
1215,125.0,19.0,5,6.0,5.0
1216,300.0,45.0,,,
1217,112.0,7.5,4,8.0,8.0
1218,300.0,32.0,2,3.0,3.0
1219,125.0,8.2,4,3.0,4.0
1220,400.0,,,,
1221,100.0,3.35,2,3.0,2.0
1222,95.0,7.7,3,3.0,3.0
1223,100.0,5.4,4,4.0,4.0
1224,90.0,12.5,3,3.0,3.0
1225,95.0,5.3,3,3.0,3.0
1226,300.0,20.0,,3.0,
1227,63.0,5.5,3,3.0,3.0
1228,140.0,31.0,4,5.0,5.0
1229,115.0,10.5,2,3.0,3.0
1230,152.0,28.5,,,
1231,107.0,12.0,4,6.0,4.0
1232,250.0,46.0,9,9.0,9.0
1233,102.0,8.0,2,3.0,3.0
1234,78.7,8.7,3,4.0,3.0
1235,60.1,3.45,3,4.0,3.0
1236,97.7,3.15,2,3.0,2.0
1237,80.0,5.59,3,3.0,4.0
1238,52.7,2.65,1,2.0,2.0
