price,area,road_width,floors,bedroom,loc,garage
: 10 tỷ,"94 m
2",6m,4 lầu,7 phòng ngủ,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,",0
": 3,95 tỷ","58 m
2",3m,4 lầu,3 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",0
": 3,5 tỷ","77 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà,",0
": 4,15 tỷ","76 m
2",3m,3 lầu,8 phòng ngủ,"Đường Hoàng Hoa Thám, Phường Tân Chính, Quận Thanh Khê,",0
": 2,55 tỷ","51 m
2",4m,2 lầu,2 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",0
": 6,05 tỷ","81 m
2",11m,3 lầu,3 phòng ngủ,"Đường Bình Hòa 10, Phường Khuê Trung, Quận Cẩm Lệ,",chỗ để xe
": 5,2 tỷ","73 m
2",3m,3 lầu,4 phòng ngủ,"Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu,",0
": 5,5 tỷ","80 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Hồng Phong, Phường Phước Ninh, Quận Hải Châu,",0
: 17 tỷ,"98 m
2",15m,3 lầu,3 phòng ngủ,"Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà,",0
": 3,8 tỷ","50 m
2",6m,2 lầu,2 phòng ngủ,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 4,5 tỷ","113 m
2",3m,2 lầu,6 phòng ngủ,"Đường Lê Văn Hưu, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 3,15 tỷ","67 m
2",3m,2 lầu,3 phòng ngủ,"Đường Trần Cao Vân, Phường Chính Gián, Quận Thanh Khê,",0
": 2,97 tỷ","50 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê,",0
: 10 tỷ,"94 m
2",6m,4 lầu,7 phòng ngủ,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,",0
": 3,95 tỷ","58 m
2",3m,4 lầu,3 phòng ngủ,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê,",0
